Signal1,Signal2,Signal3,Signal4,Signal5
0,0,1,1,0
0.104528461,0.000685245,0.998629522,0.99912281,0.034878236
0.207911681,0.002739077,0.994521871,0.996492819,0.069586546
0.309016972,0.006155867,0.987688304,0.992114641,0.103955835
0.406736605,0.010926249,0.978147553,0.985995958,0.13781866
0.499999942,0.017037147,0.965925768,0.978147503,0.171010044
0.587785172,0.024471813,0.951056447,0.968583045,0.203368282
0.669130501,0.033209867,0.933580348,0.957319365,0.234735728
0.743144695,0.043227361,0.913545371,0.944376221,0.264959564
0.809016837,0.054496836,0.89100643,0.929776321,0.293892541
0.866025221,0.066987404,0.866025303,0.913545278,0.321393702
0.913545249,0.080664828,0.838670461,0.895711567,0.347329064
0.951056284,0.09549162,0.809016883,0.876306475,0.371572272
0.978147348,0.111427141,0.777145847,0.855364044,0.394005216
0.994521624,0.128427712,0.743144709,0.832921015,0.414518605
0.999999714,0.146446736,0.707106663,0.80901676,0.4330125
0.994521599,0.165434824,0.669130488,0.783693216,0.449396801
0.978147298,0.185339931,0.629320274,0.756994809,0.463591686
0.951056212,0.206107498,0.587785138,0.728968377,0.475527997
0.913545156,0.227680604,0.544638924,0.699663087,0.485147584
0.86602511,0.250000117,0.499999894,0.669130352,0.49240358
0.809016714,0.273004861,0.4539904,0.637423736,0.497260635
0.743144562,0.296631782,0.40673655,0.604598864,0.499695087
0.669130365,0.32081612,0.358367865,0.570713321,0.499695074
0.587785037,0.345491588,0.309016919,0.535826554,0.497260597
0.499999815,0.370590551,0.25881898,0.499999767,0.492403517
0.406736491,0.396044216,0.207911637,0.463295811,0.485147498
0.309016878,0.421782815,0.156434423,0.425779079,0.475527888
0.207911612,0.447735801,0.104528435,0.387515386,0.463591556
0.104528423,0.473832039,0.052335942,0.348571861,0.449396653
2.18E-16,0.5,-8.31E-11,0.309016824,0.433012335
-0.104528423,0.52616796,-0.052335941,0.268919668,0.414518426
-0.207911612,0.552264195,-0.104528432,0.228350737,0.394005026
-0.309016878,0.578217176,-0.156434418,0.187381202,0.371572073
-0.406736491,0.603955769,-0.207911627,0.146082939,0.347328861
-0.499999815,0.629409425,-0.258818964,0.104528397,0.321393498
-0.587785037,0.654508377,-0.309016896,0.062790479,0.293892339
-0.669130365,0.679183833,-0.358367833,0.020942406,0.264959368
-0.743144562,0.703368157,-0.406736509,-0.020942406,0.234735543
