Feature1,Feature2,Feature3,Feature4,Feature5,Feature6
3.142775091,0.236953602,-2.703517952,1.105379607,-3.560433769,-1.10576447
4.593644207,-0.214682408,-2.026238987,0.954548837,-4.494053014,0.104353785
2.698207781,0.542459133,-2.763784787,-1.709121777,1.741678259,2.002479476
-3.079179135,-0.635569769,2.633218015,0.215892906,2.863546046,0.290534061
3.591071279,0.70225544,-2.460511818,0.340153912,3.658706968,0.375004437
3.331365474,0.057175006,3.353361435,0.304300924,-3.164585372,-0.337011511
2.776377045,0.27067666,-3.295189014,0.26415582,3.848583637,-0.053339763
4.651493849,0.884368096,3.756198859,-1.958226174,2.611417503,-0.076781598
2.605944383,-0.241509296,-3.379093351,2.433555502,2.470363088,2.67857811
3.087822002,-0.461408193,-2.520049213,-1.67262188,2.179262106,-2.010757994
2.546276292,-0.587633514,1.768001992,1.517900362,2.427095299,0.280508807
2.525240361,-1.361567336,-3.193004555,0.697207952,1.757339187,-0.246953641
2.409560132,-1.238224243,3.289047762,2.68644166,-4.420343125,-0.439351134
3.830124617,0.532343685,-2.981510042,0.635192494,-2.78914826,-1.151508818
2.210368529,-0.190498449,3.929460679,-0.088656152,-4.424014806,-1.855485561
3.400381779,0.080646573,3.435212374,-1.060618126,-4.305256103,-1.343306737
2.858319833,1.48299267,3.10984514,-2.586705186,4.019297936,-2.479348582
3.610084774,0.139452254,4.893139588,-0.904845589,3.186404369,0.246146496
3.671281328,1.760566589,4.043059384,0.39462684,3.446195831,0.001995251
-1.273592466,-1.536117631,6.223190239,-1.673311049,4.692564976,-0.986413673
3.924687398,0.045730937,-2.310169948,0.868284354,-4.14623876,0.010340769
1.169919743,0.119778317,-3.97678606,1.337537593,-1.561977321,1.008293715
3.505700909,1.523737955,-2.415143923,-0.372276159,3.735686645,-0.460780985
-2.538287742,0.738867681,3.15676887,-0.846466965,3.843726765,2.299034335
2.604358256,-0.095456058,1.767024366,-0.72593964,-5.935545323,0.461955452
3.533098869,1.134014174,3.115872467,-0.681265845,2.559287773,-0.915125888
3.934333254,-0.381482713,4.37845509,-0.880006206,3.141545702,0.918322063
1.948148073,-1.119320565,-3.515891383,0.871785025,-2.286856709,-0.271642815
2.582951734,-0.240589693,-2.972999527,1.229419587,-3.196993283,0.987036057
1.745406979,1.041296162,-4.11347031,1.827435066,-1.097385579,-0.501106252
3.319265999,-0.729654441,2.414213431,1.329770446,-2.797615497,1.198264687
